N,P,K,temperature,humidity,ph,rainfall,label,crop_category,soil_type_1,soil_type_2
91,56.0,37.0,23.43191632,80.56887849,6.363472208,269.5039162,rice,cereals,clay loam,alluvial soil
,,,,,,,nan,cereals,unknown,unknown
110.776221726446,54.0050189655177,44.8725511802742,28.7459688308778,69.6905059897197,6.54280821262879,935.245617982343,rice,cereals,clay loam,alluvial soil
137.45252342422,56.405447186127,47.4366746302996,26.859292322852,81.8789395896085,6.88822861351888,1781.75505964668,rice,cereals,clay loam,alluvial soil
122.231883621883,62.148164875321,51.3066215743432,25.489789431801,64.9801791923932,6.91931633856439,1115.32910749126,rice,cereals,clay loam,alluvial soil
145.24141244913,59.3365154296171,46.0393910839918,24.1006679067884,67.6780901203088,6.92274971798782,1919.36531803591,rice,cereals,clay loam,alluvial soil
114.324159076967,55.9703958975935,47.6802002366306,26.6465924256613,74.2444746945723,5.6297861506019,1248.14952714635,rice,cereals,clay loam,alluvial soil
120.833747951891,55.6993141190815,46.511228176969,25.5289359934268,70.4630769185764,7.22807095214223,1754.62585754617,rice,cereals,clay loam,alluvial soil
109.724704989305,53.7657769785941,45.0916021768403,22.6619350495756,65.1354587831312,6.43501041009301,1583.9540091198,rice,cereals,clay loam,alluvial soil
125.049159723965,56.964300969871,39.9418251066056,24.5159782062428,63.8941448193236,6.66902510738917,1397.7715417205,rice,cereals,clay loam,alluvial soil
140.434812661233,48.8970341455742,37.3506237789324,27.1074913550786,63.7144721755278,6.97329924445669,1384.13505050465,rice,cereals,clay loam,alluvial soil
125.454733195998,51.1661077202785,48.9955542075355,21.5718369656352,76.8802721698215,6.27068297136856,1539.0671694231,rice,cereals,clay loam,alluvial soil
123.111090202941,52.8203513252713,46.3440630574701,26.1960609384929,67.2308663756324,6.25928078810481,983.401819645055,rice,cereals,clay loam,alluvial soil
121.738293213338,50.2945140944233,45.6113702542761,25.0553224739567,78.6499200836386,7.15692911438162,1384.03042342892,rice,cereals,clay loam,alluvial soil
125.435623406949,41.353910250392,44.4833208389467,24.028615641172,75.8432404426198,6.20751277786565,1573.78863206182,rice,cereals,clay loam,alluvial soil
121.194917315628,55.4437155986435,48.1441621208671,23.0540884080201,65.4104547348208,7.21587834678689,1528.16015421704,rice,cereals,clay loam,alluvial soil
115.808917097843,54.4978646728521,49.0022848687591,25.3480436902637,63.2498213194378,6.10427686094021,1160.35108265764,rice,cereals,clay loam,alluvial soil
132.993059864199,69.2473548269755,43.6326156775193,20.4953679815565,71.6459329302907,6.88909301963908,1604.79981860654,rice,cereals,clay loam,alluvial soil
117.894260360136,49.0300360759467,43.5632808125434,26.4412164418447,86.3685625964552,5.50442754012388,1396.39329804687,rice,cereals,clay loam,alluvial soil
124.990595519972,48.3445972272065,45.3075395501447,25.676419249872,70.6109604833199,6.12854953580167,1610.26162689498,rice,cereals,clay loam,alluvial soil
107.368486880353,71.5462109545182,49.4167235412998,23.063966211194,63.5546143626732,7.08055308946063,1526.85772496053,rice,cereals,clay loam,alluvial soil
111.345414740981,49.5179892423948,48.8848552764986,26.7173968967775,68.5000680414531,7.16195646681883,1306.71822877593,rice,cereals,clay loam,alluvial soil
132.758069360648,46.762716754435,44.0083298160751,22.138979945107,80.6603162916969,6.3115282142035,1492.14075813921,rice,cereals,clay loam,alluvial soil
98.5961919690028,50.2665305593738,45.5933111732773,22.5689199735024,62.4986569514457,6.48370300897931,1385.64807634138,rice,cereals,clay loam,alluvial soil
112.729748315771,56.2189077269695,42.5689158892824,24.3996618503981,70.8631092570047,5.46229775605607,1409.92824298399,rice,cereals,clay loam,alluvial soil
144.092180548884,65.8582813264004,41.4840728155247,21.0096550417891,73.2319685373678,7.16868777362372,1340.49518532953,rice,cereals,clay loam,alluvial soil
136.196433564324,48.8981932920705,39.5217283748442,24.1958900851297,78.172812862714,6.76421559617859,1356.32690924676,rice,cereals,clay loam,alluvial soil
132.253773608201,59.3799349793613,50.7302892462062,20.0052441591604,63.0817990949326,6.4308207604256,1993.15652554862,rice,cereals,clay loam,alluvial soil
136.103954428612,55.2143754480715,45.6614847042408,28.8389437668409,70.653189803724,5.4913290640748,1318.98170096245,rice,cereals,clay loam,alluvial soil
125.45253249226,48.4844106242151,45.2553316861912,24.9829425546282,65.6129575651745,6.1455481230134,2022.13247958251,rice,cereals,clay loam,alluvial soil
136.17444669647,55.3570037278891,44.7546489271777,26.7537679587625,83.1711008504254,6.42256462372989,1577.06745619204,rice,cereals,clay loam,alluvial soil
122.545252694275,54.9824309657775,49.1577075742146,21.1826154014019,79.7109466727156,6.68600206664803,1395.09860512973,rice,cereals,clay loam,alluvial soil
120.130895231656,37.3741239626157,41.3086994572671,29.4177458029516,69.752473969412,5.47870306944653,1654.7483595427,rice,cereals,clay loam,alluvial soil
107.376366811201,53.9382812198842,44.0354839321031,27.8244968769945,62.4835202261468,7.30080242330159,1696.2775146904,rice,cereals,clay loam,alluvial soil
115.97138698688,53.313185652621,42.3315560446564,27.7257993171018,70.0667302664078,6.20319504316675,2021.07967169485,rice,cereals,clay loam,alluvial soil
118.678122251821,54.6587739223181,46.0612773741607,25.5819694365103,66.1787785824162,5.66265016994385,1321.09563023034,rice,cereals,clay loam,alluvial soil
118.901295954401,49.8079926867518,47.8595364673126,29.6713318632194,84.7919369342061,6.11914621516038,1396.6137723436,rice,cereals,clay loam,alluvial soil
136.378087736317,50.8912065341706,42.3256941352025,22.8857030005011,64.427540520668,5.92808392311471,1658.48227735061,rice,cereals,clay loam,alluvial soil
126.108800283624,64.7001840510104,46.9876703273097,26.0322716744074,69.5542310181949,7.45179733352326,1621.52112432756,rice,cereals,clay loam,alluvial soil
143.456789973047,48.2728059310428,38.5720432527404,26.3321315119462,69.6851568593386,6.68600610755029,1530.89036830929,rice,cereals,clay loam,alluvial soil
113.905884206337,46.5375828770732,44.1074982157552,25.5428136000098,89.8250037143325,6.80476500423593,1566.07879998497,rice,cereals,clay loam,alluvial soil
126.19734197564,58.7798074973775,44.7120486013509,23.921153432476,66.0558718401243,6.69121764381711,1696.92427282103,rice,cereals,clay loam,alluvial soil
116.183530899867,49.659656220799,45.38405622401,24.4830868685466,72.5495392689694,6.55275679109911,1103.92158919809,rice,cereals,clay loam,alluvial soil
136.614867969492,42.914214982927,52.1300768419877,25.0988176507064,68.3734809259767,6.46096021615136,1151.44424542101,rice,cereals,clay loam,alluvial soil
114.954724525713,44.910178012443,45.2754892508202,24.2375285902803,86.3448479660446,5.92191167718681,1252.43212323028,rice,cereals,clay loam,alluvial soil
123.349991828162,58.2686691984126,44.7595621522597,26.3885173509472,86.370994068627,6.60474987977153,1544.21687549166,rice,cereals,clay loam,alluvial soil
121.440931703555,52.8230189808424,50.0587108961685,30.5908034851164,75.1315189912492,6.57220844923555,1532.06130600045,rice,cereals,clay loam,alluvial soil
146.046452437747,53.9001651867119,38.9634671890248,22.263879048262,86.8584419580956,6.64095233011109,1656.72102587415,rice,cereals,clay loam,alluvial soil
114.299705679517,61.8957727911091,49.2427637471938,24.3434024881998,71.9415084081188,6.44325237499072,1411.02436514556,rice,cereals,clay loam,alluvial soil
105.342057247359,52.8403434621163,46.77524774803,24.5222652123214,85.7559931170484,7.38535912626572,1385.94784709378,rice,cereals,clay loam,alluvial soil
126.076094692769,50.8119473350361,50.9407846455257,24.5152358052258,79.3206976482957,6.8074670116893,1377.25106582665,rice,cereals,clay loam,alluvial soil
138.881624729024,57.3976501182716,45.7498949435328,23.020372621096,68.7565205856304,6.53135664639901,1468.95047283979,rice,cereals,clay loam,alluvial soil
116.942787374908,53.1181396419516,47.8300665029132,22.6860273994463,68.7760336817499,7.21593097022198,1978.08991047912,rice,cereals,clay loam,alluvial soil
132.463909649178,39.5756422792736,46.0677065544769,24.3830859552552,75.5621231836497,5.78540103868857,1667.73278035259,rice,cereals,clay loam,alluvial soil
119.315953683567,44.7849385399832,43.2336629003989,20.9902755741773,73.2065983597578,6.03427739009465,1243.86860046642,rice,cereals,clay loam,alluvial soil
120.956305383158,57.5855841551238,45.0142751670067,24.7208420906561,84.8041591271149,7.27488372651435,1861.64869433496,rice,cereals,clay loam,alluvial soil
107.333361625326,55.4733377046899,42.5919064918543,24.6379549784465,72.5442079820859,6.00548073559123,1796.42180570619,rice,cereals,clay loam,alluvial soil
122.020577439075,41.8318862360562,34.0139340190196,24.6203246056519,75.5053304124344,6.48209766125017,1342.76026409874,rice,cereals,clay loam,alluvial soil
133.150969179669,47.1399782629275,41.5452070441871,23.5712844042568,83.2065518527014,6.72007722405706,1410.89123750617,rice,cereals,clay loam,alluvial soil
138.21986205704,50.7582711057562,47.6818731618402,21.8340715783875,66.3759531108214,6.25005744668274,1722.90885306118,rice,cereals,clay loam,alluvial soil
87.4543962676606,49.7782924485075,48.8944166714641,24.4953916249178,72.5360625455207,6.12961472726455,1400.97645139643,rice,cereals,clay loam,alluvial soil
112.11049956389,56.6587396692647,45.5784577849636,23.9515425589398,80.8286684681456,6.83385720729647,1757.71009981372,rice,cereals,clay loam,alluvial soil
113.130926283301,64.9141551457013,48.5854354228371,24.6778066741677,60.7625704959444,6.38066992824596,1844.1439731868,rice,cereals,clay loam,alluvial soil
93.4593041877152,52.2567427761048,50.3644892748755,27.4522221762643,64.8226092458818,5.85011914735659,2108.58374626099,rice,cereals,clay loam,alluvial soil
123.16598185011,64.8539532828049,48.4752902281166,18.655083653239,74.7170251763591,6.40848128608364,1605.85944460046,rice,cereals,clay loam,alluvial soil
121.240348864475,53.228826551027,47.6443996526765,25.5023596393208,63.5242985209079,5.90393922857326,1519.3256691166,rice,cereals,clay loam,alluvial soil
138.692322187433,53.6172577573944,45.6766032028036,25.543213388105,76.4221450050685,6.90130756188499,2021.28083517113,rice,cereals,clay loam,alluvial soil
133.128135328804,56.0436320100757,44.0086896005851,21.4700953739957,78.3018855067193,6.88055618497076,1692.79374534222,rice,cereals,clay loam,alluvial soil
116.314651726071,52.4638193795361,44.1893017383487,26.7561171846892,60.0813792578493,6.96274789809019,1112.89715379276,rice,cereals,clay loam,alluvial soil
131.370451329243,63.7906323972832,41.2919863911378,20.106844165527,85.1395593795491,6.17276167232221,1272.95482541431,rice,cereals,clay loam,alluvial soil
134.324495540355,42.4707904721263,48.6629007916531,23.8716757350253,74.2150673651112,5.11172446560557,1520.82836420382,rice,cereals,clay loam,alluvial soil
134.85487515149,48.7377731056345,47.4640415837196,22.3625176808838,75.8911844886259,6.75666542566747,1337.47968417881,rice,cereals,clay loam,alluvial soil
136.311287312934,51.9129102125097,43.2650393369029,25.005307368646,85.3829512440718,6.83682361931107,1272.13395343139,rice,cereals,clay loam,alluvial soil
122.970709474272,49.4449754209502,48.8471971615574,28.6434365317897,77.0418079383516,6.99808933326555,1192.88654702491,rice,cereals,clay loam,alluvial soil
127.177637447073,65.8210544226987,39.9392497478884,24.9615745502331,76.3417209899703,6.84651379070493,1773.09761537832,rice,cereals,clay loam,alluvial soil
127.883884301383,56.3721988012956,40.3663733233063,20.8676633548661,72.4124071371973,7.05979766828612,743.383118306484,rice,cereals,clay loam,alluvial soil
110.835654648104,59.5127127842982,45.7354048417128,17.9094273713524,65.0735302049549,6.35529885564695,1532.92699580412,rice,cereals,clay loam,alluvial soil
102.284837960587,57.5548325858632,49.2686288383662,24.2850511892412,72.2353696290451,6.2886819687187,1405.70236758849,rice,cereals,clay loam,alluvial soil
110.606549351654,46.4258845560472,41.6740584485761,25.5539461870043,75.9612385248245,7.40325188254472,1726.73399317316,rice,cereals,clay loam,alluvial soil
137.050539708007,56.3133008985441,47.1055275334901,25.5266543731024,81.0277229982873,5.79574693643189,1422.50743117358,rice,cereals,clay loam,alluvial soil
112.507684168645,50.9002354928174,42.7544675899692,28.5775262373061,69.7361844680109,6.52813597091122,1337.11335349286,rice,cereals,clay loam,alluvial soil
132.447206638013,56.8596964328116,44.1688406294999,25.0035988710107,61.958362732736,6.16544414770365,1393.83530632149,rice,cereals,clay loam,alluvial soil
115.177835587248,56.6637003747096,46.5557119529674,22.6269641525496,67.1888510548499,6.10216826579535,1810.09706197924,rice,cereals,clay loam,alluvial soil
117.801647176565,52.0221280495152,41.8848377907638,24.2269720218821,63.6192241297738,5.92643917276836,1680.15924285139,rice,cereals,clay loam,alluvial soil
126.973587054472,67.850295099533,45.1275883642339,25.1292748350556,64.5411609797785,7.30146277806881,1788.29182517209,rice,cereals,clay loam,alluvial soil
124.859026034857,61.2403257411653,43.5884219608397,23.4253002447184,79.1279686128115,7.02865220629545,1387.43942253123,rice,cereals,clay loam,alluvial soil
79.0623209767637,61.4797571869547,49.4757820852488,22.1911354516968,77.9879283947788,7.16367549042286,1341.76093032092,rice,cereals,clay loam,alluvial soil
136.899148317176,42.919042606664,41.9334415834127,24.3539663402479,64.8358312697088,7.03667614768859,1635.14089413774,rice,cereals,clay loam,alluvial soil
93.2765613491276,52.5839560211001,48.3583756431922,20.7825032359249,74.0306834067385,6.7096047676262,1285.56195145538,rice,cereals,clay loam,alluvial soil
132.258801280249,42.7584142425598,44.5636108899032,25.3361810947966,83.3290562111058,6.79485399889139,1350.57012249899,rice,cereals,clay loam,alluvial soil
117.376250015029,51.7172741926447,49.7850852343882,28.0176467007215,80.9642877995902,7.16813590789579,1199.87509519757,rice,cereals,clay loam,alluvial soil
143.129457656443,42.4565762385055,40.8263656437639,25.4454574689671,85.3979477900135,6.34861836143179,1593.79545316984,rice,cereals,clay loam,alluvial soil
106.479766370243,38.9357793126298,43.667785531427,25.1023197841907,82.7644540375621,5.63195033792109,1581.41615840751,rice,cereals,clay loam,alluvial soil
119.275087646076,45.2504375083589,52.2657412301618,25.2584975555816,84.0491236437699,6.49930822788634,1724.04266625109,rice,cereals,clay loam,alluvial soil
129.579902394494,45.2713373314452,41.7535963270492,23.7982952578764,85.5148529013706,6.49928508920198,1278.05098354519,rice,cereals,clay loam,alluvial soil
135.142719965419,50.6438971694998,43.1463742044421,25.4971473056457,76.3464963261571,6.61200238336772,1480.31794491531,rice,cereals,clay loam,alluvial soil
130.4677508409,54.6974576615413,47.9648513410046,24.3464474379266,76.338122382907,6.22285356558084,1707.49812598766,rice,cereals,clay loam,alluvial soil
116.020002956803,51.9557325060481,47.9519849433306,25.8661424367802,73.6499798455304,6.75844255814446,1212.29703891106,rice,cereals,clay loam,alluvial soil
124.14987356315,46.0533019270937,45.6218056439007,28.4496192958875,61.1454781865492,6.15118941321798,1394.0137643528,rice,cereals,clay loam,alluvial soil
107.351533970126,55.3724653826533,46.5933824625022,22.891222658853,80.8950986486264,5.95538166449069,1418.97795128147,rice,cereals,clay loam,alluvial soil
125.248914811552,50.9682063820318,46.6612773823488,21.62992232148,85.9764484961488,6.68239393389504,1517.91363079335,rice,cereals,clay loam,alluvial soil
101.806741659293,62.1391531278861,43.5111201042333,27.0815012900599,89.1471113856575,6.81101736665036,1492.35984930451,rice,cereals,clay loam,alluvial soil
,,,,,,,nan,cereals,unknown,unknown
86.4374450747844,37.167868298804,48.5353781989101,17.1279897249381,63.412752564509,6.80533326048059,680.109027619488,wheat,cereals,loamy soil,clay loam
65.2281187703348,37.8105111696489,49.880840076379,18.2307207325394,68.3317057290874,6.65264235176952,709.579470524769,wheat,cereals,loamy soil,clay loam
91.3577407701639,44.8694281573827,39.8224692013576,17.6338174230433,71.4616502085493,7.23490026296024,482.26453695147,wheat,cereals,loamy soil,clay loam
77.907957714534,31.8262227367713,35.3700859081971,20.2208070070743,84.3297182525307,6.93236568588646,767.000497178847,wheat,cereals,loamy soil,clay loam
86.6628233379462,44.6869534245201,37.5225880394677,21.6998075707296,83.2497924306846,7.06852886105842,690.646666173807,wheat,cereals,loamy soil,clay loam
80.4086468278747,42.3835252109994,44.624403510901,20.526593585559,60.2231103158717,7.42727793266914,477.029961859337,wheat,cereals,loamy soil,clay loam
80.9640121491739,45.4731489957903,42.5778642808866,21.1158768169413,84.5299702071844,6.85465030810646,427.129699612754,wheat,cereals,loamy soil,clay loam
58.1099468226491,45.5885327249152,43.7124785927381,20.0070607694665,61.8944498631877,6.67590130124127,766.438596850536,wheat,cereals,loamy soil,clay loam
83.2454852693122,37.4746634161078,46.5317163463891,23.0055668284712,88.9464650853172,6.98654810974723,614.041968380596,wheat,cereals,loamy soil,clay loam
53.6237077947406,45.8075616109308,44.6290810367453,20.6387740241983,80.9095016346751,7.40221953540646,693.018083642148,wheat,cereals,loamy soil,clay loam
83.7198545419907,34.4146997053717,28.7489621893089,18.1282416648526,75.2132548972299,6.90692455741777,768.950571824044,wheat,cereals,loamy soil,clay loam
89.6845657474624,51.0278102385114,39.2674586016772,21.7962349516198,84.597599916282,6.96812458030265,761.569165570227,wheat,cereals,loamy soil,clay loam
52.1383080852921,39.0457657512473,28.9261647750078,19.9361674432681,85.7480020236625,6.7907400156291,570.830594177204,wheat,cereals,loamy soil,clay loam
81.0378187819315,46.3839960158585,38.0287879954579,18.3602925150911,81.1615932808111,6.6241865729772,481.04177338208,wheat,cereals,loamy soil,clay loam
59.5380943741728,39.9516329758663,30.6306249034663,19.1875963578269,70.522354525618,7.4767144397218,679.207128056713,wheat,cereals,loamy soil,clay loam
94.2246210168659,52.611974062521,41.9457269895602,25.5278986298047,78.438413848128,7.2015009353748,626.975381312762,wheat,cereals,loamy soil,clay loam
88.837187153774,40.9165306396596,28.913364613121,16.7407223668154,88.9505961454058,7.03594487558211,811.097554548074,wheat,cereals,loamy soil,clay loam
70.2840941712523,50.2781749433655,35.0127918166508,21.4444036180909,88.5263949366691,6.77688455893303,642.133371919361,wheat,cereals,loamy soil,clay loam
90.4690938944054,49.2805657393581,41.2415009925741,21.4162509085115,83.742457720819,7.43832008438366,629.659893997176,wheat,cereals,loamy soil,clay loam
70.2090098140408,43.0689448444688,30.467534039777,22.3631509770129,85.9979088836712,6.80068039904091,462.999099737446,wheat,cereals,loamy soil,clay loam
94.4400065122655,41.285397650642,41.6738304173875,21.8022537144644,66.9127548419758,7.21602073941774,590.865323207691,wheat,cereals,loamy soil,clay loam
97.7251772510395,45.4142448167239,49.204457853622,20.796463557072,84.6319926624519,7.20555614820903,628.739463343336,wheat,cereals,loamy soil,clay loam
63.4335358557831,40.1267344498625,44.7589923623538,18.1378033560665,71.3202243071703,7.16333244664166,514.208489288572,wheat,cereals,loamy soil,clay loam
75.8676847238551,41.4924621411658,50.0960759251703,19.3850937190433,87.1088652554123,7.11406392418342,879.548055122491,wheat,cereals,loamy soil,clay loam
86.5849375622594,35.3728389656698,30.766142629271,18.7876786039761,85.5007537350765,6.75660842942717,592.897156930685,wheat,cereals,loamy soil,clay loam
67.4050742015522,36.2889478906409,35.857411082085,21.1741718012637,81.5000438365905,6.8820162889795,596.653978043141,wheat,cereals,loamy soil,clay loam
85.4842950808225,39.0404988668982,31.8554190250994,17.1717569119027,66.3469186373472,7.39571732559278,612.330909873616,wheat,cereals,loamy soil,clay loam
83.8903562835476,35.4596720306992,45.2191057242688,17.1511104332718,80.4568058783051,7.16720336860895,688.668111655441,wheat,cereals,loamy soil,clay loam
83.1984016616465,42.4662204881668,35.9668131031728,19.9456445753834,88.1132253444192,7.20043458262681,865.406753495434,wheat,cereals,loamy soil,clay loam
90.3193825424815,32.7040736680919,35.7258713804295,21.9922923287231,74.6319321331158,7.01659504136129,513.539281015755,wheat,cereals,loamy soil,clay loam
72.6219158956956,39.6743734760935,35.9545465818008,19.6446221252809,73.5187698010587,6.72604497816348,654.248233454289,wheat,cereals,loamy soil,clay loam
74.4873854110493,33.4009947621709,52.6885630403924,19.7898782526621,73.7007809832031,7.23412094433011,519.137287410432,wheat,cereals,loamy soil,clay loam
72.7580519840468,38.8268828329666,43.3765831720412,21.8429608404447,71.8911613582936,6.70652150526856,734.452711099279,wheat,cereals,loamy soil,clay loam
93.8302726117599,40.506453209419,28.1245666834624,20.2362255366535,70.5929803301255,6.76232569456802,683.919380331884,wheat,cereals,loamy soil,clay loam
97.4736841784617,34.2766606468212,35.4439447336714,20.2497413885033,74.9056289641915,7.47224829821204,670.882472588735,wheat,cereals,loamy soil,clay loam
79.5960273579134,38.6194785195225,32.6014388085796,21.4976130354999,71.6245655212237,6.92401208022369,727.849874380911,wheat,cereals,loamy soil,clay loam
68.4020014628351,40.6422962483434,34.3082701532632,19.0951234204062,76.8467163575791,6.57635601707241,623.466542802282,wheat,cereals,loamy soil,clay loam
